condition,success_rate,avg_final_polynomial_mastery,avg_total_steps,family_isomorphism_gain,avg_reached_mastery_step,avg_rag_intervention_count
weak_ab3_foundation,0.11,0.5912,54.88,0.2168,48.7273,0.0
weak_ab3_foundation_rag,0.14,0.5897,54.04,0.2015,49.7857,1.46
