max_steps,strategy,success_rate,avg_steps,avg_mastery,avg_mastery_gain,unnecessary_remediation
30,Baseline,0.44,25.286666666666665,0.7011636666666666,0.15938766666666665,0.0
30,Rule-Based,0.46,24.55666666666667,0.715905,0.17463333333333333,0.5933333333333334
30,Adaptive (Ours),0.6133333333333333,22.0,0.6859703333333333,0.14574066666666666,0.19
40,Baseline,0.5433333333333333,30.276666666666667,0.7245846666666668,0.18066666666666667,0.0
40,Rule-Based,0.6233333333333333,28.923333333333332,0.737744,0.19563633333333333,0.7766666666666666
40,Adaptive (Ours),0.69,25.606666666666666,0.717239,0.1744443333333333,0.22333333333333333
50,Baseline,0.6266666666666667,34.51,0.7373153333333333,0.19650033333333336,0.0
50,Rule-Based,0.65,33.2,0.745857,0.2056373333333333,0.7633333333333333
50,Adaptive (Ours),0.76,27.883333333333333,0.7325606666666666,0.19021766666666665,0.20333333333333334
