MAX_STEPS,episodes,escape_from_c_rate_pct,avg_final_mastery,avg_steps_used,delta_vs_previous_pct,interpretation
30,1000,12.8,0.438,29.4,—,Low escape rate under constrained budget.
40,1000,29.9,0.472,37.4,+17.1%,Substantial improvement with moderate extra steps.
50,1000,44.4,0.498,44.0,+14.5%,"Performance continues to improve, but gains become less stable."
60,1000,58.3,0.524,48.0,+13.9%,"Performance continues to improve, but gains become less stable."
70,1000,64.6,0.537,52.0,+6.3%,"Performance continues to improve, but gains become less stable."
